filename,label
p01-lineimg0_n0000_label02.png,2
p01-lineimg0_n0001_label14.png,14
p01-lineimg0_n0002_label29.png,29
p01-lineimg0_n0003_label01.png,1
p01-lineimg0_n0004_label28.png,28
p01-lineimg0_n0005_label28.png,28
p01-lineimg0_n0006_label33.png,33
p01-lineimg0_n0007_label23.png,23
p01-lineimg0_n0008_label12.png,12
p01-lineimg0_n0009_label03.png,3
p01-lineimg0_n0010_label01.png,1
p01-lineimg0_n0011_label29.png,29
p01-lineimg0_n0012_label10.png,10
p01-lineimg0_n0013_label02.png,2
p01-lineimg0_n0014_label01.png,1
p01-lineimg0_n0015_label07.png,7
p01-lineimg0_n0016_label01.png,1
p01-lineimg0_n0017_label28.png,28
p01-lineimg0_n0018_label08.png,8
p01-lineimg0_n0019_label29.png,29
p01-lineimg0_n0020_label11.png,11
p01-lineimg0_n0021_label28.png,28
p01-lineimg0_n0022_label28.png,28
p01-lineimg0_n0023_label33.png,33
p01-lineimg0_n0024_label23.png,23
p01-lineimg0_n0025_label31.png,31
p01-lineimg0_n0026_label06.png,6
p01-lineimg10_n0000_label31.png,31
p01-lineimg10_n0001_label01.png,1
p01-lineimg10_n0002_label35.png,35
p01-lineimg10_n0003_label29.png,29
p01-lineimg10_n0004_label31.png,31
p01-lineimg10_n0005_label10.png,10
p01-lineimg10_n0006_label01.png,1
p01-lineimg10_n0007_label20.png,20
p01-lineimg10_n0008_label12.png,12
p01-lineimg10_n0009_label35.png,35
p01-lineimg10_n0010_label23.png,23
p01-lineimg10_n0011_label02.png,2
p01-lineimg10_n0012_label31.png,31
p01-lineimg10_n0013_label10.png,10
p01-lineimg10_n0014_label35.png,35
p01-lineimg10_n0015_label29.png,29
p01-lineimg10_n0016_label30.png,30
p01-lineimg10_n0017_label08.png,8
p01-lineimg10_n0018_label01.png,1
p01-lineimg10_n0019_label16.png,16
p01-lineimg10_n0020_label28.png,28
p01-lineimg10_n0021_label26.png,26
p01-lineimg10_n0022_label30.png,30
p01-lineimg10_n0023_label26.png,26
p01-lineimg10_n0024_label29.png,29
p01-lineimg10_n0025_label31.png,31
p01-lineimg10_n0026_label10.png,10
p01-lineimg10_n0027_label35.png,35
p01-lineimg11_n0000_label10.png,10
p01-lineimg11_n0001_label01.png,1
p01-lineimg11_n0002_label30.png,30
p01-lineimg11_n0003_label23.png,23
p01-lineimg11_n0004_label10.png,10
p01-lineimg11_n0005_label31.png,31
p01-lineimg11_n0006_label29.png,29
p01-lineimg11_n0007_label30.png,30
p01-lineimg11_n0008_label08.png,8
p01-lineimg11_n0009_label01.png,1
p01-lineimg11_n0010_label28.png,28
p01-lineimg11_n0011_label04.png,4
p01-lineimg11_n0012_label23.png,23
p01-lineimg11_n0013_label12.png,12
p01-lineimg11_n0014_label33.png,33
p01-lineimg11_n0015_label31.png,31
p01-lineimg11_n0016_label01.png,1
p01-lineimg11_n0017_label06.png,6
p01-lineimg11_n0018_label31.png,31
p01-lineimg11_n0019_label26.png,26
p01-lineimg11_n0020_label01.png,1
p01-lineimg11_n0021_label26.png,26
p01-lineimg11_n0022_label12.png,12
p01-lineimg11_n0023_label06.png,6
p01-lineimg11_n0024_label26.png,26
p01-lineimg11_n0025_label30.png,30
p01-lineimg12_n0000_label01.png,1
p01-lineimg12_n0001_label35.png,35
p01-lineimg12_n0002_label03.png,3
p01-lineimg12_n0003_label28.png,28
p01-lineimg12_n0004_label33.png,33
p01-lineimg12_n0005_label06.png,6
p01-lineimg12_n0006_label01.png,1
p01-lineimg12_n0007_label28.png,28
p01-lineimg12_n0008_label30.png,30
p01-lineimg12_n0009_label29.png,29
p01-lineimg12_n0010_label29.png,29
p01-lineimg12_n0011_label02.png,2
p01-lineimg12_n0012_label01.png,1
p01-lineimg12_n0013_label03.png,3
p01-lineimg12_n0014_label31.png,31
p01-lineimg12_n0015_label28.png,28
p01-lineimg12_n0016_label35.png,35
p01-lineimg12_n0017_label01.png,1
p01-lineimg12_n0018_label30.png,30
p01-lineimg12_n0019_label14.png,14
p01-lineimg12_n0020_label01.png,1
p01-lineimg12_n0021_label30.png,30
p01-lineimg12_n0022_label23.png,23
p01-lineimg12_n0023_label12.png,12
p01-lineimg12_n0024_label03.png,3
p01-lineimg12_n0025_label26.png,26
p01-lineimg12_n0026_label31.png,31
p01-lineimg12_n0027_label33.png,33
p01-lineimg13_n0000_label06.png,6
p01-lineimg13_n0001_label31.png,31
p01-lineimg13_n0002_label26.png,26
p01-lineimg13_n0003_label01.png,1
p01-lineimg13_n0004_label08.png,8
p01-lineimg13_n0005_label01.png,1
p01-lineimg13_n0006_label28.png,28
p01-lineimg13_n0007_label04.png,4
p01-lineimg13_n0008_label23.png,23
p01-lineimg13_n0009_label12.png,12
p01-lineimg13_n0010_label33.png,33
p01-lineimg13_n0011_label31.png,31
p01-lineimg13_n0012_label01.png,1
p01-lineimg13_n0013_label08.png,8
p01-lineimg13_n0014_label01.png,1
p01-lineimg13_n0015_label16.png,16
p01-lineimg13_n0016_label26.png,26
p01-lineimg13_n0017_label30.png,30
p01-lineimg13_n0018_label02.png,2
p01-lineimg13_n0019_label26.png,26
p01-lineimg13_n0020_label28.png,28
p01-lineimg13_n0021_label01.png,1
p01-lineimg13_n0022_label35.png,35
p01-lineimg13_n0023_label12.png,12
p01-lineimg13_n0024_label10.png,10
p01-lineimg13_n0025_label01.png,1
p01-lineimg13_n0026_label30.png,30
p01-lineimg15_n0000_label26.png,26
p01-lineimg15_n0001_label01.png,1
p01-lineimg15_n0002_label35.png,35
p01-lineimg15_n0003_label31.png,31
p01-lineimg15_n0004_label10.png,10
p01-lineimg15_n0005_label01.png,1
p01-lineimg15_n0006_label35.png,35
p01-lineimg15_n0007_label31.png,31
p01-lineimg15_n0008_label22.png,22
p01-lineimg15_n0009_label23.png,23
p01-lineimg15_n0010_label22.png,22
p01-lineimg15_n0011_label01.png,1
p01-lineimg15_n0012_label35.png,35
p01-lineimg15_n0013_label31.png,31
p01-lineimg15_n0014_label33.png,33
p01-lineimg15_n0015_label03.png,3
p01-lineimg15_n0016_label01.png,1
p01-lineimg15_n0017_label12.png,12
p01-lineimg15_n0018_label31.png,31
p01-lineimg15_n0019_label33.png,33
p01-lineimg15_n0020_label14.png,14
p01-lineimg15_n0021_label35.png,35
p01-lineimg15_n0022_label03.png,3
p01-lineimg15_n0023_label31.png,31
