0,31,28
1,11,8
2,14,9
3,26,8
4,29,8
5,52,6
6,64,8
7,22,11
8,48,9
9,58,12
10,61,10
11,37,15
12,52,15
13,56,13
14,48,17
15,50,16
16,66,17
17,67,17
18,14,21
19,17,18
20,27,20
21,30,20
22,38,19
23,43,20
24,45,19
25,60,19
26,38,23
27,42,23
28,31,27
29,38,26
30,44,26
31,44,27
32,64,27
33,66,27
34,6,28
35,20,30
36,38,30
37,47,29
38,50,30
39,61,29
40,69,29
41,5,29
42,6,29
43,23,32
44,25,33
45,28,32
46,41,33
47,44,33
48,47,32
49,48,31
50,53,32
51,56,33
52,57,32
53,64,31
54,67,32
55,6,34
56,22,35
57,45,34
58,6,38
59,12,38
60,20,38
61,9,39
62,11,40
63,14,40
64,16,40
